Date,Date Precision,State/Region,Township,Village Tract/Ward,Location,Latitude,Longitude,Location Precision,Location Confidence,Category,Sub-Category,Actor-1,Actor-2,Notes,Fatalities,SAC Fatalities,Injuries,Casualties confidence,Source,
1/4/2021,1,Kachin,Mogoung,,"""Tingrat Hka""",25.45218,96.88865,0,1,Armed Clashes,Ambush,KIA,SAC,"On April 1st 60 Tatmadaw soldiers were ambushed at ""Tingrat Hka"", South-East of Dun Bone Hka in a ""Forest"" Village Tract. A sergeant was killed.",1,1,0,2,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
1/4/2021,1,Kachin,Mogoung,Namti,"""Namting""",25.382,97.011,1,3,Armed Clashes,,KIA,SAC,"On April 1st, an RPG was fired by the KIA's 44th Battalion at roughly 50 Tatmadaw soldiers around ""Namting"". The event has been coded to Namti, but this is unclear.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
1/4/2021,1,Kachin,Sumprabum ,Ka War Pan,Da Gu Kha,26.13797,97.52452,0,1,Armed Clashes,,KIA,SAC,"On April 1st, KIA soldiers fired RPGs and artillery at a Tatmadaw outpost near Da Gu Kha village (ဒဂူးခ) in Ka War Pan Village Tract (ကဝါးပန်း). Subsequent clashes wounded a villager.",,,1,2,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
1/4/2021,1,Kachin,Sumprabum ,Hka Ka Ran Yang,Hka Ka Ran Yang,26.30012,97.49142,0,1,Armed Clashes,SAC Position Seized,KIA,SAC,"On April 1st, KIA sodliers set fire to the ""Hka Garan"" Tatmadaw post, near Hka Ka Ran Yang village.",,,,3,https://www.freeburmarangers.org/2021/04/09/kachin-state-clash-report-1-6-april-2021/,
1/4/2021,1,Kayin,Hpapun,Urban,Hpapun,18.062035,97.442932,3,1,Violence Against Civilians,Shooting,SAC,,"On April 1st, Tatmadaw soldiers fired at houses in Hpapun, forcing many locals to flee",,,,3,https://burmese.voanews.com/a/krean-ongoing-local-offensive-by-the-myanmar-army-/5837923.html,
1/4/2021,1,Kayin,,,"Kler Per Hta, Mae Way area",17.915793,97.289937,,,Violence Against Civilians,Airstrikes,SAC,,In the early hours of April 1st the Tatmadaw launched airstrikes against Kler Per Hta village in the Mae Way area,,,,,https://www.iccaconsortium.org/wp-content/uploads/2021/04/salween-peace-park-under-attack-report.pdf#page=2,
1/4/2021,1,Sagaing,Tamu,,Nan Phar Lone border outpost,24.246761,94.308245,1,1,Armed Resistance,Explosion,PDF,SAC,"On April 1st, a police outpost at a border market (border with India) was attacked leaving four officers dead.",4,4,0,2,https://www.myanmar-now.org/en/news/attack-on-tamu-police-outpost-ends-with-six-officers-dead,
1/4/2021,2,Shan (North),Namtu,,Man San,22.93271065,97.42601013,2,1,Violence Against Civilians,Artillery,,,On April 1st two artillery shells fired by an unknown armed group - likely either the TNLA or the SSA-N - landed on the village of Man San in Namtu township. One shell landed in the local electricity office. No injuries were reported.,,,,3,https://burmese.shannews.org/archives/21508,
2/4/2021,1,Kayin,Thaton,,Pein Hne Taw,17.121193,97.484492,,,Armed Clashes,,SAC,KNLA,"On April 2nd, Tatmadaw troops launched an offensive in the vicinity of Pein Hne Taw village in Mon state's Thaton township, looking to attack KNLA positions near the town.",,,,,https://www.facebook.com/385165108587508/posts/1163704577400220/?d=n,
2/4/2021,1,Kayin,,,"Thai-Myanmar No. 2 Bridge, Myawaddy",16.713722,98.486902,1,1,Armed Resistance,Explosion,,SAC,"On April 2nd, at roughly 7pm a bomb detonated under the Number 2 Thai Myanmar Friendship bridge, near Myawaddy city, injuring one police officer.",,,1,2,https://www.facebook.com/225522737632555/posts/1647895855395229/?d=n,
