Date,Date Precision,State/Region,Township,Village Tract/Ward,Location,Latitude,Longitude,Location Precision,Location Confidence,Category,Sub-Category,Actor-1,Actor-2,Notes,Fatalities,SAC Fatalities,Injuries,Casualties confidence,Source,
31/8/2021,1,Kayah,Loikaw,,"During the evening of August 31st, a large convoy of Tatmadaw soliders was ambushed, mined and attacked by the local chapter of the PDF near 'Dan Kwin' (ဒိန်းကွင်း). Clashes lasted approximately half an hour and there were heavy casualties by the Tatmadaw, initial media claims say 100 SAC soldiers were killed, but this seems unlikely.",19.864345,97.291263,1,1,Armed Resistance,Clashes,KNDF,SAC,"At around 1pm on August 31st, troops with the Karenni National Defense Force and the Tatmadaw clashed near Daw Ha Tay village on the Kayah/Shan border. Heavy artillery was used and there were injuries on both sides. No reports on of deaths.",,,2,2,https://t.me/khitthitnews/6624,
26/8/2021,1,Sagaing,Taze,,Kar Paung Kya,23.090326,95.273683,1,1,Violence Against Civilians,,SAC,,"On August 26th, Tatmadaw troops raided the village of Kar Paung Kya. Somewhere between 6-10 villagers were killed in the raid. Most of the village has fled.",6,,,,https://t.me/khitthitnews/6648,
1/9/2021,1,Kayin,Kyainseikgyi,,Between Kyeik Ywar and Paing Ka La Don,16.158527,98.349543,1,1,Armed Clashes,,KNLA,SAC,"At around 7am on September 1st, the KNLA's 6th Brigade attacked a Tatmadaw camp between the villages of Kyeik Ywar and Paing Ka Lar Don. The SAC has reportedly been stationed in Kyeik Ywar in recent weeks. Three SAC troops were injured, according to locals.",,,3,,https://www.ayaytawpone.com/2860,
31/8/2021,1,Mandalay,Myingyan,,Chaung Daung,21.4684,95.4,1,1,Violence Against Civilians,Assasination,SAC,,"At around 10pm on August 31st, pro-Tatmadaw militias raided the house of a noted NLD supporter and chairperson of the region's blood-donation organisation. He was killed and his son was injured.",1,,1,1,https://t.me/khitthitnews/6661,
31/8/2021,1,Mandalay,Madaya,,Wa Thon Da Ra,22.15480042,96.17273712,1,1,Violence Against Civilians,Assasination,PDF,SAC,"On the morning of August 31st, a village administrator of Ka Paing village in Mandalay's Madaya township was stabbed to death. He was killed near Wa Thon Da Ra village.",1,,,,https://t.me/khitthitnews/6661,
31/8/2021,1,Sagaing,Pale,,Between Yae Thar and Se Gyi,22.075965,94.534099,1,1,Armed Resistance,,PDF,SAC,"At around 2pm on August 31st, clashes broke out between the Pale People's Defense Force (a PDF affiliate) and the Tatmadaw between the villages of Yae Tar and Se Gyi, near Sit Yin village. One Tatmadaw soldier was killed in the clashes and two PDF members were injured.",1,1,2,2,http://burmese.dvb.no/archives/485026,
30/8/2021,1,Sagaing,Pale,,Pywar Swae Hill,22.126974,94.524126,2,2,Armed Resistance,,PDF,SAC,"On August 30th, a confereracy of PDF groups from around Sagaing clashed with Tatmadaw troops at the Pywar Swae Hill near Sit Yin village in Pale township. 11 Tatmadaw soldiers were killed, according to a later statement by the PDF.",11,11,,,http://burmese.dvb.no/archives/484683,
31/8/2021,1,Sagaing,Tabayin,,Between Kya Khat and Aye Thar Yar,22.604735,95.263057,1,1,Armed Resistance,Ambush,PDF,SAC,"At around 3pm on August 31st, local PDF forces attacked a convoy of Tatmadaw soldiers in three vehicles between the villages of Kya Khat and Aye Thar Yar (Pyan Kya). The number of casualties is unclear.",,,,,https://www.rfa.org/burmese/news/military-convoy-mine-in-depayin-08312021075327.html,
1/9/2021,1,Sagaing,Yinmarbin,,Near Kwayt Chaung village,22.19745,95.030008,1,1,Armed Resistance,Ambush,PDF,SAC,At around 5:30pm on September 1st a convoy of Tatmadaw soldiers travelling from Bant Bway village in Yin Mar Bin township was attacked by a suspected PDF mine atttack. Locals told media that roughly 12 soldiers were killed. Later reports said that 20 soldiers were killed. ,16,16,,,https://t.me/khitthitnews/6716,
1/9/2021,1,Magway,Myothit,,Aing Ma,20.29822922,95.68153381,1,1,Violence Against Civilians,Assasination,PDF,SAC,"At around 6:30pm on September 1st, an SAC-appointed administrator of Aing Ma village in Magway's Myothit township was shot dead. The attack was claimed by a local chapter of the PDF.",1,,,,https://t.me/khitthitnews/6718,
